Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.2%
Long-run Economic,GNP,0.2%
Long-run Economic,Capital Stock,0.3%
Long-run Economic,Wage Rate,0.1%
Long-run Economic,Full-Time Equivalent Jobs," 57,906 "
Conventional Revenue,2022,0
Conventional Revenue,2023,0
Conventional Revenue,2024,0
Conventional Revenue,2025,0
Conventional Revenue,2026,-$64.6
Conventional Revenue,2027,-$70.5
Conventional Revenue,2028,-$72.4
Conventional Revenue,2029,-$74.6
Conventional Revenue,2030,-$76.7
Conventional Revenue,2031,-$79.9
Conventional Revenue,2022 - 2031,-$438.7
Dynamic Revenue,2022,$0.0
Dynamic Revenue,2023,$0.0
Dynamic Revenue,2024,$0.0
Dynamic Revenue,2025,$0.0
Dynamic Revenue,2026,-$59.0
Dynamic Revenue,2027,-$63.6
Dynamic Revenue,2028,-$64.9
Dynamic Revenue,2029,-$66.2
Dynamic Revenue,2030,-$67.5
Dynamic Revenue,2031,-$70.0
Dynamic Revenue,2022 - 2031,-$391.2
2022 Conventional Distribution,0% - 20.0%,0
2022 Conventional Distribution,20.0% - 40.0%,0
2022 Conventional Distribution,40.0% - 60.0%,0
2022 Conventional Distribution,60.0% - 80.0%,0
2022 Conventional Distribution,80.0% - 100%,0
2022 Conventional Distribution,80.0% - 90.0%,0
2022 Conventional Distribution,90.0% - 95.0%,0
2022 Conventional Distribution,95.0% - 99.0%,0
2022 Conventional Distribution,99.0% - 100%,0
2022 Conventional Distribution,TOTAL FOR ALL,0
2031 Conventional Distribution,0% - 20.0%,0.0%
2031 Conventional Distribution,20.0% - 40.0%,0.1%
2031 Conventional Distribution,40.0% - 60.0%,0.1%
2031 Conventional Distribution,60.0% - 80.0%,0.2%
2031 Conventional Distribution,80.0% - 100%,0.6%
2031 Conventional Distribution,80.0% - 90.0%,0.4%
2031 Conventional Distribution,90.0% - 95.0%,0.7%
2031 Conventional Distribution,95.0% - 99.0%,1.1%
2031 Conventional Distribution,99.0% - 100%,0.5%
2031 Conventional Distribution,TOTAL FOR ALL,0.4%
Long-run Dynamic Distribution,0% - 20.0%,0.2%
Long-run Dynamic Distribution,20.0% - 40.0%,0.2%
Long-run Dynamic Distribution,40.0% - 60.0%,0.3%
Long-run Dynamic Distribution,60.0% - 80.0%,0.4%
Long-run Dynamic Distribution,80.0% - 100%,0.8%
Long-run Dynamic Distribution,80.0% - 90.0%,0.5%
Long-run Dynamic Distribution,90.0% - 95.0%,0.8%
Long-run Dynamic Distribution,95.0% - 99.0%,1.2%
Long-run Dynamic Distribution,99.0% - 100%,0.6%
Long-run Dynamic Distribution,TOTAL FOR ALL,0.6%
